Código,Nome,Site,Rua,CEP,Cidade,Estado,CNPJ,Data de início de atividade,Unnamed: 9,quantidade_de_cursos,preco_medio,preco_std,duracao_media,duracao_std,maturidade_media,prop_online,preco_hora_medio,idade
285,SEBRAE PB,https://www.sebrae.com.br/sites/PortalSebrae/cursoseeventos?uf=PB,,,,PB,09.139.551/0001-05,1970-02-18,,18,59.72222222222222,42.897559572590495,7.166666666666667,6.157651067303722,1.8333333333333333,0.0,8.333333333333332,52.679452054794524
286,SEBRAE PR,https://www.sebrae.com.br/sites/PortalSebrae/cursoseeventos?uf=PR,,,,PR,75.110.585/0001-00,1972-11-22,,111,0.0,0.0,5.5675675675675675,8.264350469206098,1.509090909090909,1.0,0.0,49.917808219178085
287,SEBRAE PE,https://www.sebrae.com.br/sites/PortalSebrae/cursoseeventos?uf=PE,,,,PE,09.829.524/0001-64,1972-05-29,,8,17.5,18.540496217739157,2.75,1.0897247358851685,1.875,0.0,6.363636363636363,50.4027397260274
288,SEBRAE PI,https://www.sebrae.com.br/sites/PortalSebrae/cursoseeventos?uf=PI,,,,PI,06.665.129/0001-03,1973-12-03,,118,0.0,0.0,5.6440677966101696,9.007083298977845,1.547008547008547,1.0,0.0,48.88767123287671
289,SEBRAE RN,https://www.sebrae.com.br/sites/PortalSebrae/cursoseeventos?uf=RN,,,,RN,08.060.774/0001-10,1973-09-27,,109,0.0,0.0,5.541284403669724,8.829196883995865,1.537037037037037,1.0,0.0,49.07123287671233
290,SEBRAE RS,https://www.sebrae.com.br/sites/PortalSebrae/cursoseeventos?uf=RS,,,,RS,87.112.736/0001-30,1972-11-07,,105,0.0,0.0,5.533333333333333,8.381461023526201,1.561904761904762,1.0,0.0,49.95890410958904
291,SEBRAE RJ,https://www.sebrae.com.br/sites/PortalSebrae/cursoseeventos?uf=RJ,,,,RJ,29.737.103/0001-10,1977-09-14,,112,4.107142857142857,43.271435056359465,4.991071428571429,7.625726587997891,1.5363636363636364,0.9910714285714286,0.8228980322003576,45.104109589041094
292,SEBRAE RO,https://www.sebrae.com.br/sites/PortalSebrae/cursoseeventos?uf=RO,,,,RO,04.774.105/0001-59,1981-02-11,,100,0.0,0.0,5.55,8.560811877386397,1.55,1.0,0.0,41.69041095890411
293,SEBRAE RR,https://www.sebrae.com.br/sites/PortalSebrae/cursoseeventos?uf=RR,,,,RR,04.685.236/0001-60,1981-02-02,,119,0.0,0.0,5.781512605042017,8.972562906270648,1.5546218487394958,1.0,0.0,41.71506849315068
295,SEBRAE SE,https://www.sebrae.com.br/sites/PortalSebrae/cursoseeventos?uf=SE,,,,SE,13.115.183/0001-32,1975-12-02,,105,0.0,0.0,5.866666666666666,9.486899906780394,1.5809523809523809,1.0,0.0,46.89041095890411
